id,a_category,a_intent,a_human,b_producer,b_human,b_desc,b_wants
241461775577,calendar_bot,n/a,False,calendar_or_scheduling_tool,False,"A HubSpot meeting-scheduler notification telling Sara that Goncalo Rodrigues booked a meeting on her booking link, with date, time, and Google Meet details. Automated by the scheduling system.","nothing (the booker wants the meeting to happen, but the email is machine-generated)"
242421240053,human,not_interested,True,person_typing,True,A courteous decline from a prospect at Jumio saying they're satisfied with their current model-evaluation and annotation tooling. Typed by a person.,To decline the sales pitch and close the conversation politely.
242578154711,other_bot,n/a,False,ticketing_system,False,A HubSpot notification that 66 tasks (mostly 'Call this contact' tasks) were assigned to Sara. Automated CRM task-assignment notification.,nothing
242605031667,human,not_now,True,person_typing,True,A short reply saying the sender hasn't progressed the commercial discussion and needs to postpone the meeting to next Friday. Typed by a person.,To postpone the meeting until next Friday.
246321434827,calendar_bot,n/a,False,calendar_or_scheduling_tool,False,"A Google Calendar acceptance notification: Neha Parnandi accepted the 'Encord / Doxel' meeting invite, with Meet link and event details. Generated automatically by Google Calendar when she clicked Accept.",nothing (the acceptance signals attendance)
246757376223,other_bot,n/a,False,ticketing_system,False,A HubSpot notification that 100 companies were assigned to James Falconer. Automated CRM assignment notification.,nothing
248186066167,human,other_human,True,person_typing,True,A four-word reply ('Got a conflict.') sent from an iPhone. A person quickly typed this to flag a scheduling clash.,To signal they cannot attend the scheduled meeting and implicitly need to reschedule.
248922852547,other_bot,n/a,False,ticketing_system,False,"A HubSpot system alert telling Yianni that his outgoing CRM email could not be sent because the recipient previously bounced, marked spam, or unsubscribed. Automated delivery-failure notification from the CRM (not the mail server itself).",nothing
249265184961,human,not_now,True,person_typing,True,"A polite decline of a dinner invitation because the invitee will be out of town, expressing interest in future events. Typed by a person.",To decline this dinner but stay on the list for future similar events.
249654216937,other_bot,n/a,False,ticketing_system,False,A HubSpot notification that Alex Winstone made Yianni the CA Account Owner of the company 'ultra.tech'. Automated CRM ownership-assignment notification.,nothing
250119147749,human,not_now,True,person_typing,True,"A personal reply declining a dinner invitation, amusingly noting the sender's own email automation had misclassified the original invite. Typed by a person via Superhuman.","To decline this event but be invited to future ones, especially in SF."
252254669025,other_bot,n/a,False,ticketing_system,False,A HubSpot notification that Alex Winstone made Yianni the CA Account Owner of the company 'Connex One'. Automated CRM ownership-assignment notification.,nothing
252552747211,other_bot,n/a,False,ticketing_system,False,A HubSpot notification that 5 contacts were assigned to James Golby. Automated CRM assignment notification.,nothing
254280167621,out_of_office,n/a,False,autoresponder,False,"An out-of-office automatic reply saying the sender is traveling on business in the US timezone this week and may respond slowly, with alternate support/customer-success contact addresses. Sent by the mailbox's autoresponder.",nothing (it redirects urgent matters to team addresses)
260968520917,human,wants_call,True,person_typing,True,A brief reply in a thread about Encord user limits proposing a meeting time. Typed by a person.,To schedule a meeting at 4:30 PM IST and get confirmation the time works.
262007336123,human,wants_call,True,person_typing,True,"A reply from a CEO pushing back on a meeting time he didn't agree to, offering alternative windows. Typed by a person on a busy morning.",To reschedule to around 4pm EST today or Monday morning.
262031149280,other_bot,n/a,False,ticketing_system,False,A HubSpot notification making Shreya the Inbound BDR Owner of a contact named 'No Distribution' (a likely junk/disposable-address form submission). Automated CRM assignment notification.,nothing
264588966101,human,not_now,True,person_typing,True,A short reply declining interest for the near future while leaving the door open. Typed by a person.,To decline for now; will reach out if circumstances change.
264771229905,other_bot,n/a,False,ticketing_system,False,A HubSpot notification that Yianni was made Contact owner of 'Lahsen Iflillis'. Automated CRM assignment notification.,nothing
264802882765,other_bot,n/a,False,ticketing_system,False,A HubSpot notification that Yianni made James Watson the Company owner of 'IDVerse - An OCR Labs Company'. Automated CRM ownership-assignment notification.,nothing
265085430997,other_bot,n/a,False,ticketing_system,False,A HubSpot notification that James Watson was made Deal owner of the 'Vection Technologies Deal'. Automated CRM assignment notification.,nothing
267730111675,human,other_human,True,person_typing,True,"A very short thank-you reply after a call, acknowledging materials sent. Typed by a person.",To acknowledge and thank the sender; no action requested.
269571453136,other_bot,n/a,False,ticketing_system,False,A HubSpot notification that Carl was assigned the task 'CB check' (check who has sales activities) with a due date. Automated CRM task-assignment notification.,nothing
269892232431,human,not_interested,True,person_typing,True,"A polite reply declining an invitation to a session because the company isn't interested in labeling point clouds, with a full corporate signature and confidentiality footer. Typed by a person.",To decline the invitation and indicate the topic is not relevant to them.
270149399781,other_bot,n/a,False,ticketing_system,False,A HubSpot notification that 57 companies were assigned to Sara. Automated CRM assignment notification.,nothing
270154319079,human,asks_question,True,person_typing,True,A reply in a user-count review thread asking for the list of 6 project-associated users so the customer can decide whether to add or remove them. Typed by a person.,To receive the list of the 6 users identified so they can decide how to manage them.
270182913231,other_bot,n/a,False,ticketing_system,False,A HubSpot notification that 2 contacts were assigned to Shreya. Automated CRM assignment notification.,nothing
270732005589,other_bot,n/a,False,ticketing_system,False,An automated Lever candidate report listing 10 new applicants and other recruiter activity on a followed job posting. Scheduled report from the applicant-tracking system.,nothing
274371439810,other_bot,n/a,False,ticketing_system,False,A HubSpot notification that Winnie Zhu made Yianni the Company owner of 'Tangiblee'. Automated CRM ownership-assignment notification.,nothing
276634870985,human,other_human,True,person_typing,True,A three-word reply ('Here we go!') presumably accompanying an attached updated contract. Typed by a person.,To deliver the updated contract (likely attached).
280490430678,human,wants_call,True,person_typing,True,"A friendly follow-up reply proposing to meet this week to discuss a data uplift and new features, sent from Outlook for Mac. Typed by a person.",To find time this week for a call about a potential data uplift and relevant new features.
281578903787,calendar_bot,n/a,False,calendar_or_scheduling_tool,False,"A Google Calendar acceptance notification: Nikolay Vitanov accepted the 'Encord x Beatpulselabs' meeting invite, with Meet details and the organizer's agenda embedded from the invite. Generated by Google Calendar on acceptance.",nothing (the acceptance signals attendance)
282105052375,calendar_bot,n/a,False,calendar_or_scheduling_tool,False,A Google Calendar acceptance notification: Julia Rose accepted the 'Winnie & Julia - pre-dinner chat' invite. Machine-generated by Google Calendar.,nothing
282820754653,calendar_bot,n/a,False,calendar_or_scheduling_tool,False,"A Google Calendar acceptance notification: David Grant accepted the '[Encord] Physical AI Mixer @ Actuate' event invite, with event agenda and location details. Generated by Google Calendar.",nothing
283818397906,human,wants_call,True,person_typing,True,"A reply confirming a proposed call time and confirming availability for an event on the 23rd, with a full professional signature and confidentiality footer. Typed by a person.",To confirm 1pm Friday for the call and confirm attendance on the 23rd.
284258918604,human,wants_call,True,person_typing,True,A reply confirming a rescheduled training-sync time and asking for three colleagues to be added to the meeting invite. Typed by a person.,To confirm Wednesday 7 PM Israel time and have three named colleagues added to the calendar invitation.
285587600628,human,wants_materials,True,person_typing,True,"A reply from a finance controller about a billing change, apologizing for being unaware of it and asking for payment details. Typed by a person.",To receive a credit-card payment link or bank account details so they can pay.
287525768416,human,wants_call,True,person_typing,True,A brief warm reply accepting an invitation to the Physical AI Mixer event. Typed by a person.,To accept the event invitation.
289282127036,calendar_bot,n/a,False,calendar_or_scheduling_tool,False,"A Google Calendar invitation email for a Zoom meeting ('James <> Ben : Crane GTM') organized by Ben Wright, containing Zoom join details and RSVP options. Generated by Google Calendar when the organizer created the event.","nothing directly (the organizer wants the recipient to attend and RSVP, but the email itself is machine-generated)"
291031338175,human,not_now,True,person_typing,True,A short reply saying the team hasn't revisited a package-upgrade proposal yet and will discuss next week. Typed by a person.,To buy time; they will discuss internally and respond next week — no action needed from the recipient.
292066416845,calendar_bot,n/a,False,calendar_or_scheduling_tool,False,A Google Calendar notification that Dinesh Thakur replied 'Maybe' to the 'Encord & Burro' invite and proposed a new time (Thu 2 Oct 3:30-4pm). Generated by Google Calendar's propose-new-time feature.,"nothing directly (the guest wants the meeting moved to the proposed time, but the email is machine-generated)"
293274148044,calendar_bot,n/a,False,calendar_or_scheduling_tool,False,A Google Calendar acceptance notification: bhaskar.bandyopadhyay@gatik.ai accepted the '[Encord] Physical AI Mixer @ Actuate' event invite. Machine-generated by Google Calendar.,nothing
295102315746,human,other_human,True,person_typing,True,A two-line grateful reply about residual annotation hours ('That's a great news. Thanks for supporting us.'). Typed by a person.,To express thanks; no action requested.
301653797077,human,other_human,True,person_typing,True,"A detailed reply about labeling-services pricing: the writer set up 3 example Encord projects with sample annotations and describes the grading standards (diabetic retinopathy severity, macular edema, image quality, landmarks) for expert and non-expert annotators. Carefully typed by a person.",To share example projects and annotation specifications so Encord can scope and price the labeling services.
301658822897,calendar_bot,n/a,False,calendar_or_scheduling_tool,False,A Google Calendar acceptance notification: Mark Seagrief accepted the 'Encord X Broadcast virtual | Demonstration' invite. Machine-generated by Google Calendar.,nothing
305878552822,human,not_now,True,person_typing,True,A short reply from a phone (Outlook for Android) saying the proposed time doesn't work and the sender will coordinate with colleagues before getting back. Typed by a person.,To decline the proposed time and promise to follow up with an alternative after coordinating with Ian and Richard.
121678263523,human,other_human,True,person_typing,True,"A reply from the Real-IAD dataset team providing a Hugging Face download link and instructions for getting access approved. Written by a person handling dataset access requests, possibly semi-templated but personalized to the recipient (Skander).",The recipient to reply with their Hugging Face account name (if different from their email) so access can be approved.
123732361433,human,wants_call,True,person_typing,True,"A short, friendly reply from Ashish accepting a suggestion to connect and proposing a visit to his office in Bryant Park. Clearly typed by a person continuing an ongoing conversation.","To meet in person, suggesting Alex stop by his office in Bryant Park."
126167700684,other_bot,n/a,False,mail_server,False,"An automated notification saying Joseph Baddour reacted with a 'like' to a message, generated by an email/messaging system (Outlook-style reaction notification), not typed by a person.",nothing
127817043168,human,wants_call,True,person_typing,True,"A reply from David Menashe (CTO of RSIP Vision) confirming receipt of a first data batch, mentioning annotator time constraints, and asking about availability. Typed by a person in a business conversation.",Confirmation whether someone from the Encord team is available 5-6pm Israel time during the week.
130524473570,human,wants_call,True,person_typing,True,A short personal reply from Ravi accepting an invitation to an Encord AI Leaders Dinner after returning from vacation. Typed by a person.,To confirm his attendance at the dinner.
131038547140,human,wants_materials,True,person_typing,True,"A follow-up reply from Ebony after a product demo, thanking for it and asking for materials. Typed by a person in a sales conversation.","A deck overviewing Encord's offerings and data infrastructure, plus more detail on on-premise setup constraints."
131291929837,human,not_now,True,person_typing,True,"A reply from Laksiya at Adigo declining to proceed after reviewing something, citing capacity constraints. Typed by a person, with a long corporate signature including a booking link.",To politely decline moving forward with system changes for now; no action requested.
131481555182,human,wants_call,True,person_typing,True,A very short thank-you reply from Ayoosh confirming he is looking forward to the dinner event. Typed by a person.,Nothing beyond expressing thanks and confirming attendance.
134220662975,human,wants_call,True,person_typing,True,A brief reply giving an office address in Porto and confirming a meeting tomorrow. Typed by a person coordinating an in-person meeting.,To share the meeting address and confirm they will see each other tomorrow.
135719694543,human,not_now,True,person_typing,True,A reply from Alexandre Attia (AZmed co-founder/CTO) explaining they don't currently need a CT labeling platform and would prefer a demo later. Typed by a person politely deferring a sales conversation.,To postpone any product demo until they are focused on their next product; no action needed now.
136243369148,human,wants_call,True,person_typing,True,A short German-style reply (AW: prefix) from Margit confirming that Tuesday 11/2 works for a proposed meeting. Typed by a person.,To confirm the proposed Tuesday meeting time.
136622507233,human,not_now,True,person_typing,True,A reply from Max declining a dinner invitation for tonight but expressing genuine interest in future events. Typed by a person.,To be notified about similar future events even though he can't attend this one.
140270396623,human,other_human,True,person_typing,True,"A reply from Kevin, sent from his iPhone, saying he'll be out of town for the dinner and asking whether a colleague can attend in his place. Typed by a person.",Permission to send a member of his leadership team to the dinner in his place.
141076196567,human,not_interested,True,person_typing,True,"A reply from André Bleau at Genetec declining Encord's services because such work must be done internally and is often contractually restricted. Typed by a person, with a long bilingual corporate signature.",To decline the offering; no further action requested.
141306235080,human,wants_call,True,person_typing,True,A reply from Milutin Spasić at Sportradar expressing interest in a hands-on evaluation of Encord's tool and proposing a quick call to arrange it. Typed by a person.,A quick call to agree on the details of a hands-on evaluation of the platform.
141625302226,human,other_human,True,person_typing,True,A reply from Dr. Matthew Bloom at Cedars Sinai giving his office address and phone number for an upcoming in-person meeting. Typed by a person.,To provide his address and contact number so the visitor can find him.
142572124401,human,wants_call,True,person_typing,True,A reply from Mariia proposing a specific slot for an SDK demo and committing to share custom data beforehand. Typed by a person coordinating a demo.,To schedule a 90-minute SDK demo session on 24.02.25 at 10am.
144051405017,human,referral,True,person_typing,True,"A reply from Adith declining a dinner invitation because he'll be in India, and offering to forward the invite to his ML team. Typed by a person.",Confirmation whether it's appropriate to forward the invitation to his ML team so someone else can attend.
144166662383,human,other_human,True,person_typing,True,A reply from Marcus at Gentian delivering updated trial data files (8-bit PNGs with labels) via a Google Drive link and explaining their structure. Typed by a person actively working on a trial.,For the Encord team to check the files and report any issues; also confirmation that class names can be updated in the interface.
149428288728,human,other_human,True,person_typing,True,"A one-line reply from Kaushik stating his dietary restriction (no red meat), presumably ahead of a dinner event. Typed by a person.",To inform the organizer of his dietary restriction.
155645990103,human,other_human,True,person_typing,True,A reply from Michael agreeing that getting an NDA in place is the best next step so they can discuss their use-case openly. Typed by a person in a sales/partnership discussion.,To proceed with putting an NDA in place; he will start the internal process on his side.
157730998504,human,other_human,True,person_typing,True,A short update from Evan at Weave Robotics saying he uploaded new annotation instructions and did an example annotation as discussed. Typed by a person doing collaborative project work.,To notify the team that the new instructions and example annotation are ready for review.
158656328950,out_of_office,n/a,False,autoresponder,False,A standard out-of-office automatic reply from Yair Han at Mobileye saying he is unavailable and directing contacts to a colleague. Generated automatically by his mailbox in response to an incoming email.,nothing
162055050443,human,wants_call,True,person_typing,True,A reply apologizing for missing a proposed meeting today and asking to reschedule. Typed by a person managing a partnership discussion.,To reschedule the meeting to Thursday.
162331639019,human,wants_call,True,person_typing,True,A reply declining a dinner invitation but confirming meeting availability later in the week and sharing a colleague's email to include. Typed by a person.,To book the Thursday 9:30 or 10:30 AM PST call with Patrick included.
163811545316,human,asks_question,True,person_typing,True,"A detailed reply from Verobotics answering Encord's discovery questions about admin accounts, annotators, and annual annotation volume, plus a counter-question about annotation workforce scaling. Typed by a person.","Answers on how Encord handles annotation tasks and flexible annotator scaling, ahead of Monday's discussion."
163919155430,human,other_human,True,person_typing,True,"A long, link-heavy follow-up from Jamie Porter, a Gong Account Executive, recapping pilot progress, the mutual success plan, and attaching decks. Typed by a person (a salesperson) though heavily polished with marketing links.",To keep the pilot momentum going and prepare for tomorrow's meeting reviewing Gong instance insights.
164524182743,human,not_interested,True,person_typing,True,A reply from Miguel declining a dinner invitation because he'll be off for his kids' spring break. Typed by a person.,To decline politely and be considered for future events.
165986675918,human,referral,True,person_typing,True,"A one-line reply from UiPath's CIO adding a colleague (Dragos Moise) to the email thread, with only a signature otherwise. Typed by a person.",To loop Dragos Moise into the conversation.
166103560396,out_of_office,n/a,False,autoresponder,False,"An automatic reply, but its content is a farewell message in Portuguese and English from José Mendes saying it was a pleasure to be part of the team — apparently a departed employee's auto-response. Generated automatically by the mailbox.",nothing
166725819633,human,other_human,True,person_typing,True,"A reply about the dinner logistics: no dietary restrictions, but warning he may arrive around 7pm due to a late call and commute from Santa Clarita. Typed by a person.",Confirmation that arriving as late as 7pm would not cause problems.
166792173779,human,wants_call,True,person_typing,True,A reply from Samyadeep Saha at Swiss Re apologizing for missing an invite due to a personal emergency and offering availability next week. Typed by a person.,For Charlotte to schedule a meeting Tuesday-Thursday next week before 5:30 PM IST.
170198881492,human,other_human,True,person_typing,True,A one-line reply from Janice confirming the PO is in place and she can now sign the Order Form. Typed by a person in a procurement flow.,To confirm she is ready to sign the Order Form now.
171269146810,human,asks_question,True,person_typing,True,A short support-style reply thanking Eliza and asking a follow-up question about account settings. Typed by a person.,To know whether the email address associated with their account can be changed (not just the screen name).
171375493361,calendar_bot,n/a,False,calendar_or_scheduling_tool,False,An empty-bodied message whose subject shows a calendar invitation acceptance ('Accepted: ... End of Trial Check In'). This is an automated RSVP response generated by a calendar system when the invitee clicked Accept.,nothing
172190750958,out_of_office,n/a,False,autoresponder,False,"A standard out-of-office automatic reply from Omer at Pixellot, directing urgent matters to a colleague. Generated automatically by the mailbox.",nothing
174218819801,human,wants_call,True,person_typing,True,A brief reply from Aya Mikami at AppFolio confirming availability for a kickoff call on a specific date and time. Typed by a person.,To confirm Thursday April 10th at 9:30 am PT for the kickoff call.
175363189954,human,wants_call,True,person_typing,True,"A short reply from Doug Richards, sent from mobile, saying he's at a board retreat next week and proposing the following week instead. Typed by a person.",To reschedule the meeting to the week after next.
176861460673,human,other_human,True,person_typing,True,"A casual reply confirming 12:30 CET works for a support session, while noting the writer may not personally attend. Typed by a person.",To confirm the 12:30 CET time; the team will attend even if he can't.
177236816077,human,wants_call,True,person_typing,True,An enthusiastic reply from HP at Loopr confirming a Wednesday 9am PST kickoff and asking for the invite. Typed by a person.,"The calendar invite sent to him, Leo, and Chris for Wednesday 9am PST."
177530020077,human,other_human,True,person_typing,True,A very short reply from Rivo saying he could do a call if absolutely necessary but prefers email. Typed by a person.,To keep the conversation over email rather than a call.
178231569615,human,asks_question,True,person_typing,True,"A frustrated reply from Lindsey Solovey at Whiterabbit expressing confusion about whether Encord actually offers annotation services, referencing conflicting information. Typed by a person.","A clear, honest answer about whether Encord offers annotation services; she doesn't want her time wasted."
178375861450,human,other_human,True,person_typing,True,"A reply from Lydia Schulz, a medical administrative assistant at what appears to be Mayo Clinic, explaining payment documents are done but net-60/net-30 terms can't be changed on their side. Typed by a person.","For Encord to call their Supply Chain Management (507-266-5551, vendor option) to change the payment terms."
179038556366,human,wants_materials,True,person_typing,True,"A positive reply about a subscription renewal, saying the team looks forward to the updated proposal. Typed by a person.",To receive the updated proposal when ready; offers help if anything is needed meanwhile.
181071959277,human,wants_call,True,person_typing,True,A one-line reply proposing a specific time to reschedule a call. Typed by a person.,Confirmation whether 1PM next Monday works for the rescheduled call.
182776006843,human,other_human,True,person_typing,True,A short reply acknowledging receipt of a draft order form during a subscription renewal. Typed by a person.,Nothing immediately; they will review the order form and respond.
183254075602,human,other_human,True,person_typing,True,"A reply from Sarah Smith, events manager at Spruce restaurant, saying their event spaces are booked on May 15th, offering the waitlist, alternate dates, and a sister restaurant. Typed by a person in a venue-inquiry conversation.",To know whether Winnie wants a different date checked; also suggests contacting sister restaurant La Connessa.
183734618332,human,wants_materials,True,person_typing,True,"A reply from Raven noting they are evaluating competitors (Labeller, SuperAnnotate) and still waiting on Encord's pricing. Typed by a person.",The pending pricing information from Encord.
183743152342,human,wants_call,True,person_typing,True,A reply from Ohad Shitrit at Mobileye apologizing for missing an email and noting a holiday in Israel next week. Typed by a person.,Meeting slot options for the week after next instead of next week.
188865209560,human,other_human,True,person_typing,True,A three-word thank-you reply after a dinner event. Typed by a person.,Nothing; just expressing thanks.
188896360673,human,other_human,True,person_typing,True,A reply from Roshni at Dolby confirming a 1-hour meeting on May 6 and deferring a separate data-management discussion until attendees are decided. Typed by a person.,To confirm the May 6 meeting arrangement; no immediate action requested.
189862983911,human,other_human,True,person_typing,True,"A quick, informal message reporting bad traffic and a revised arrival time of around 7:15 for a dinner. Typed by a person, likely from a phone.",To let the host know he will arrive around 7:15.
190939261163,human,not_interested,True,person_typing,True,"A polite, considered reply from José Duarte at Sensei declining to switch to Encord and staying with their current software, while praising the product. Typed by a person.",To formally close the evaluation; no further action requested.
192374656230,human,other_human,True,person_typing,True,A reply from Chad McKee at Airbnb apologizing for a delay (the relevant team was out) and promising an update this week on contracts. Typed by a person.,Patience; he will get back this week with the path forward.
192919806186,human,other_human,True,person_typing,True,"An enthusiastic reply from Hassaan Raza, CEO of Tavus, accepting an invitation to present at an Encord event and adding his head of marketing to coordinate. Typed by a person.","To confirm they'll present, with Julia coordinating the presenter, topic, and details."
193899190469,human,wants_materials,True,person_typing,True,A reply from Shruthi apologizing for missing the earlier email and enthusiastically accepting the May 15th mixer invitation. Typed by a person.,More details about the event she has agreed to join.
194520230085,human,not_now,True,person_typing,True,A short reply from Alex declining a mixer invitation because he's in the middle of a sprint. Typed by a person.,To decline the invitation; no action needed.
194800935101,human,asks_question,True,person_typing,True,"A reply from Ivan ahead of a Monday demo, explaining their file-sharing is restricted to internal recipients. Typed by a person.",An online folder or upload location where he can drop a zip file of example data.
194902445272,human,wants_call,True,person_typing,True,A one-line confirmation from Jacob that Monday at 11:30 AM works for a meeting. Typed by a person.,To confirm the Monday 11:30 AM meeting time.
196024638681,human,referral,True,person_typing,True,"A thoughtful reply from Kaynam explaining he's leaving Schneider for a startup where Encord isn't relevant, and recommending a contact at Planon instead. Typed by a person.",Nothing for himself; he suggests Encord reach out to Henk Laracker at Planon using his name as a referral.
196091557073,human,wants_call,True,person_typing,True,A short reply from Brandon thanking for a dinner invitation and asking to join if spots remain. Typed by a person.,A spot at the dinner if still available.
196939846851,human,other_human,True,person_typing,True,A reply from Diana Moser in Micron's procurement team attaching their response to requested NDA changes. Typed by a person handling a legal/procurement negotiation.,For James to review Micron's attached response to the NDA changes and advise.
197083214059,human,not_interested,True,person_typing,True,"A brief French reply declining an invitation to an AI leaders dinner in Paris. Typed by a person, with a corporate signature.",To decline the dinner invitation; no action needed.
197855608003,human,not_now,True,person_typing,True,A short French reply from Amos declining the Paris dinner invitation because he won't be in Paris that week. Typed by a person.,To decline the invitation; no action needed.
198808880329,human,wants_call,True,person_typing,True,"A reply to a cancelled calendar event from Rayal at Siemens Healthineers suggesting a phone call instead since it's just the two of them, and sharing his personal number. Typed by a person.",For Skander to call him on 929-810-5066 instead of the video meeting.
199361360087,human,other_human,True,ticketing_system,False,"A message routed through Tripleseat, an event-management/ticketing platform ('Reply above this line'), containing a human-typed comment from venue staff saying billing is sorted with a credit card on hand. The wrapper, tokens, and unsubscribe links are machine-generated; the comment inside is from a person.",To reassure the organizer that payment/closing out the event is handled; no action needed.
204289461494,human,not_now,True,person_typing,True,A terse reply declining further engagement because the writer is 'heads down' and not opening new threads. Typed by a person.,To be left alone for the near future; no follow-up wanted.
206016495861,human,other_human,True,person_typing,True,A four-word enthusiastic confirmation before a meeting. Typed by a person.,Nothing; just confirming they'll see each other soon.
